experiment,task,seed,zero_shot_sr,icl_sr,zero_shot_score,icl_score,delta_score
frame_gear_fresh,frame_against_pen_holder,000,0.0,1.0,0.66667,1.0,0.33333
frame_gear_fresh,frame_against_pen_holder,001,0.0,0.0,0.66667,0.66667,0.0
frame_gear_fresh,frame_against_pen_holder,002,0.0,1.0,0.333335,1.0,0.666665
frame_gear_fresh,frame_against_pen_holder,003,0.0,1.0,0.66667,1.0,0.33333
frame_gear_fresh,frame_against_pen_holder,004,0.0,0.0,0.0,0.333335,0.333335
frame_gear_fresh,frame_against_pen_holder,005,0.0,0.0,0.66667,0.333335,-0.333335
frame_gear_fresh,frame_against_pen_holder,006,0.0,1.0,0.66667,1.0,0.33333
frame_gear_fresh,frame_against_pen_holder,007,0.0,1.0,0.0,1.0,1.0
frame_gear_fresh,frame_against_pen_holder,008,0.0,0.0,0.333335,0.66667,0.333335
frame_gear_fresh,frame_against_pen_holder,009,0.0,0.0,0.0,0.66667,0.66667
frame_gear_fresh,frame_against_pen_holder,010,0.0,1.0,0.0,1.0,1.0
frame_gear_fresh,frame_against_pen_holder,011,0.0,1.0,0.0,1.0,1.0
frame_gear_fresh,frame_against_pen_holder,012,0.0,0.0,0.333335,0.333335,0.0
frame_gear_fresh,frame_against_pen_holder,013,0.0,1.0,0.0,1.0,1.0
frame_gear_fresh,frame_against_pen_holder,014,0.0,1.0,0.333335,1.0,0.666665
frame_gear_fresh,frame_against_pen_holder,015,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,frame_against_pen_holder,016,1.0,1.0,1.0,1.0,0.0
frame_gear_fresh,frame_against_pen_holder,017,0.0,1.0,0.0,1.0,1.0
frame_gear_fresh,frame_against_pen_holder,018,0.0,1.0,0.0,1.0,1.0
frame_gear_fresh,frame_against_pen_holder,019,0.0,1.0,0.0,1.0,1.0
frame_gear_fresh,install_gear,000,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,001,0.0,1.0,0.0,1.0,1.0
frame_gear_fresh,install_gear,002,0.0,0.0,0.5,0.0,-0.5
frame_gear_fresh,install_gear,003,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,004,0.0,1.0,0.0,1.0,1.0
frame_gear_fresh,install_gear,005,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,006,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,007,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,008,0.0,0.0,0.0,0.5,0.5
frame_gear_fresh,install_gear,009,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,010,1.0,0.0,1.0,0.0,-1.0
frame_gear_fresh,install_gear,011,1.0,1.0,1.0,1.0,0.0
frame_gear_fresh,install_gear,012,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,013,0.0,0.0,0.5,0.0,-0.5
frame_gear_fresh,install_gear,014,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,015,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,016,0.0,0.0,0.0,0.5,0.5
frame_gear_fresh,install_gear,017,1.0,0.0,1.0,0.0,-1.0
frame_gear_fresh,install_gear,018,0.0,0.0,0.0,0.0,0.0
frame_gear_fresh,install_gear,019,0.0,0.0,0.0,0.0,0.0
dishwasher_historical_comparator,dishwasher,000,0.0,0.0,0.5,0.5,0.0
dishwasher_historical_comparator,dishwasher,001,0.0,0.0,0.5,0.5,0.0
dishwasher_historical_comparator,dishwasher,002,0.0,0.0,0.0,0.5,0.5
dishwasher_historical_comparator,dishwasher,003,0.0,0.0,0.0,0.5,0.5
dishwasher_historical_comparator,dishwasher,004,0.0,0.0,0.0,0.5,0.5
