Task,System,Episodes,Precision,Mobility,Horizon,SR (%),Score
apple_from_shelf,OpenWAM-Alpha,20,Low,Mobile,Short Horizon,70.00,0.7000
apple_from_shelf,Astra (ICL),20,Low,Mobile,Short Horizon,70.00,0.7000
apple_from_shelf,Qwen-RobotManip,20,Low,Mobile,Short Horizon,65.00,0.6500
apple_from_shelf,π₀.₅,20,Low,Mobile,Short Horizon,75.00,0.7500
apple_from_shelf,InternVLA-A1.5,20,Low,Mobile,Short Horizon,35.00,0.3500
apple_from_shelf,π₀,20,Low,Mobile,Short Horizon,40.00,0.4000
apple_from_shelf,GigaBrain-0.7,20,Low,Mobile,Short Horizon,55.00,0.5500
apple_from_shelf,FastWAM,20,Low,Mobile,Short Horizon,40.00,0.4000
apple_to_fruit_bowl,OpenWAM-Alpha,20,Low,Mobile,Short Horizon,95.00,0.9500
apple_to_fruit_bowl,Astra (ICL),20,Low,Mobile,Short Horizon,90.00,0.9000
apple_to_fruit_bowl,Qwen-RobotManip,20,Low,Mobile,Short Horizon,50.00,0.5000
apple_to_fruit_bowl,π₀.₅,20,Low,Mobile,Short Horizon,25.00,0.2500
apple_to_fruit_bowl,InternVLA-A1.5,20,Low,Mobile,Short Horizon,20.00,0.2000
apple_to_fruit_bowl,π₀,20,Low,Mobile,Short Horizon,10.00,0.1000
apple_to_fruit_bowl,GigaBrain-0.7,20,Low,Mobile,Short Horizon,20.00,0.2000
apple_to_fruit_bowl,FastWAM,20,Low,Mobile,Short Horizon,70.00,0.7000
bookmark_on_book,OpenWAM-Alpha,20,Low,Mobile,Short Horizon,35.00,0.3500
bookmark_on_book,Astra (ICL),20,Low,Mobile,Short Horizon,90.00,0.9000
bookmark_on_book,Qwen-RobotManip,20,Low,Mobile,Short Horizon,40.00,0.4000
bookmark_on_book,π₀.₅,20,Low,Mobile,Short Horizon,55.00,0.5500
bookmark_on_book,InternVLA-A1.5,20,Low,Mobile,Short Horizon,45.00,0.4500
bookmark_on_book,π₀,20,Low,Mobile,Short Horizon,25.00,0.2500
bookmark_on_book,GigaBrain-0.7,20,Low,Mobile,Short Horizon,30.00,0.3000
